абажур	 м.
абажурный	 прил.
абажурчик	 м. разг.
абаз	 м.
абазин	 м.
абазинец	 м. устар.
абазинка	 ж.
абазинский	 прил.
абазинцы	 мн. устар.
абазины	 мн.
абака	 ж.
аббат	 м.
аббатиса	 ж.
аббатисса	 ж.
аббатский	 прил.
аббатство	 ср.
аббревиатура	 ж.
абвер	 м.
абверовец	 м.
абверовский	 прил.
аберрационный	 прил.
аберрация	 ж.
абзац	 м.
абиогенез	 м.
абиогенный	 прил.
абиссаль	 ж.
абиссальный	 прил.
абиссинец	 м.
абиссинка	 ж.
абиссинский	 прил.
абиссинцы	 мн. устар.
абитуриент	 м.
абитуриентка	 ж.
аболиционизм	 м.
аболиционист	 м.
аболиционистка	 ж.
аболиционистский	 прил.
абонемент	 м.
абонементный	 прил.
абонент	 м.
абонентный	 прил.
абонировать	 несов. и сов. перех. устар.
абонироваться	 несов. и сов. устар.
абордаж	 м.
абордажный	 прил.
аборигенка	 ж.
аборт	 м.
абортивный	 прил.
абразив	 м.
абразивный	 прил.
абразионный	 прил.
абразия	 ж.
абракадабра	 ж.
абрек	 м.
абрикос	 м.
абрикосик	 м. разг.
абрикосный	 прил.
абрикосовый	 прил.
абрикотин	 м.
абрис	 м.
абрисный	 прил.
абсент	 м.
абсентеизм	 м.
абсолют	 м.
абсолютизация	 ж.
абсолютизирование	 ср.
абсолютизировать	 несов. и сов. перех.
абсолютизироваться	 несов.
абсолютизм	 м.
абсолютировать	 несов. и сов. перех. устар.
абсолютист	 м.
абсолютистка	 ж.
абсолютистский	 прил.
абсолютность	 ж.
абсолютный	 прил.
абсорбент	 м.
абсорбировать	 несов. и сов. перех. и неперех.
абсорбироваться	 несов. и сов.
абсорбирующий	 прил.
абсорбционный	 прил.
абсорбция	 ж.
абстрагирование	 ср.
абстрагировать	 несов. и сов. перех.
абстрагироваться	 несов. и сов.
абстрагирующий	 прил.
абстракт	 м.
абстрактность	 ж.
абстрактный	 прил.
абстракционизм	 м.
абстракционист	 м.
абстракционистка	 ж.
абстракционистский	 прил.
абстракция	 ж.
абсурд	 м.
абсурдность	 ж.
абсурдный	 прил.
абсцесс	 м.
абсцисса	 ж.
абулия	 ж.
абхаз	 м.
абхазец	 м.
абхазка	 ж.
абхазский	 прил.
абхазцы	 мн.
абхазы	 мн.
абцуг	 м.
абшид	 м. устар.
авангард	 м.
авангардизм	 м.
авангардист	 м.
авангардистский	 прил.
авангардный	 прил.
аванзал	 м.
аванзала	 ж. устар.
аванложа	 ж.
аванпорт	 м.
аванпост	 м.
аванпостный	 прил.
аванс	 м.
авансирование	 ср.
авансировать	 несов. и сов. перех.
авансироваться	 несов. и сов.
авансовый	 прил.
авансодатель	 м.
авансодержатель	 м.
авансцена	 ж.
авансы	 мн. устар.
авантаж	 м. устар.
авантажность	 ж. устар.
авантажный	 прил. устар.
авантюра	 ж.
авантюризм	 м.
авантюрин	 м.
авантюриновый	 прил.
авантюрист	 м.
авантюристический	 прил.
авантюристка	 ж.
авантюристский	 прил.
авантюрность	 ж.
авантюрный	 прил.
аварец	 м.
аварийка	 ж. разг.
аварийность	 ж.
аварийный	 прил.
аварийщик	 м. разг.
авария	 ж.
аварка	 ж.
аварский	 прил.
аварцы	 мн.
авары	 мн.
авгит	 м.
авгур	 м.
август	 м.
августейший	 прил.
августинец	 м.
августовский	 прил.
авеню	 ж. нескл.
авиабаза	 ж.
авиабилет	 м.
авиабомба	 ж.
авиагоризонт	 м.
авиадесант	 м.
авиадесантник	 м.
авиадесантный	 прил.
авиаконструктор	 м.
авиалайнер	 м.
авиалиния	 ж.
авиамагистраль	 ж.
авиаматка	 ж.
авиамеханик	 м.
авиамоделизм	 м.
авиамоделист	 м.
авиамодель	 ж.
авиамодельный	 прил.
авиамотор	 м.
авиамоторный	 прил.
авианосец	 м.
авианосный	 прил.
авиапассажир	 м.
авиапочта	 ж.
авиапочтовый	 прил.
авиаремонтный	 прил.
авиасалон	 м.
авиаспорт	 м.
авиаспортивный	 прил.
авиастроение	 ср.
авиастроитель	 м.
авиастроительный	 прил.
авиатор	 м.
авиаторский	 прил.
авиатранспорт	 м.
авиатранспортный	 прил.
авиатрасса	 ж.
авиационный	 прил.
авиация	 ж.
авиачасть	 ж.
авиашкола	 ж.
авиетка	 ж.
авитаминоз	 м.
авитаминозный	 прил.
авокадо	 ср. нескл.
авоська	 ж. разг.
аврал	 м.
авралить	 несов. неперех. разг.
авральный	 прил.
авральщина	 ж. разг.-сниж.
Аврора	 ж.
австерия	 ж.
австралиец	 м.
австралийка	 ж.
австралийский	 прил.
австралийцы	 мн.
Австралия	 ж.
австриец	 м.
австрийка	 ж.
австрийский	 прил.
австрийцы	 мн.
австрияк	 м. устар.
австриячка	 ж. устар.
авто	 ср. нескл. разг.
автобаза	 ж.
автобат	 м.
автобиограф	 м.
автобиографизм	 м.
автобиографический	 прил.
автобиографичность	 ж.
автобиографичный	 прил.
автобиография	 ж.
автоблокировка	 ж.
автоблокировочный	 прил.
автобус	 м.
автобусик	 м. разг.
автобусник	 м. разг.
автобусный	 прил.
автовагон	 м.
автовесы	 мн.
автовокзал	 м.
автовышка	 ж.
автогамия	 ж.
автоген	 м. разг.
автогенный	 прил.
автогенщик	 м.
автогигант	 м.
автогонка	 ж.
автогонки	 мн.
автогонщик	 м.
автогонщица	 ж.
автогравюра	 ж.
автоград	 м.
автограф	 м.
автография	 ж. устар.
автогужевой	 прил.
автодело	 ср.
автодиспетчер	 м.
автодорога	 ж.
автодорожник	 м.
автодорожный	 прил.
автодрезина	 ж.
автодром	 м.
автожир	 м.
автозавод	 м.
автозаводец	 м.
автозаводской	 прил.
автозаправочный	 прил.
автозаправщик	 м.
автоинспектор	 м.
автоинспекция	 ж.
автокар	 м.
автоклав	 м.
автоклавный	 прил.
автоклуб	 м.
автоколонна	 ж.
автокомбинат	 м.
автокормушка	 ж.
автокран	 м.
автокрановщик	 м.
автокрановщица	 ж.
автократ	 м.
автократический	 прил.
автократия	 ж.
автол	 м.
автолавка	 ж. разг.
автолиз	 м.
автолитография	 ж.
автолюбитель	 м.
автолюбительский	 прил.
автомагистраль	 ж.
автомагистральный	 прил.
автомат	 м.
автоматизация	 ж.
автоматизирование	 ср.
автоматизированный	 прил.
автоматизировать	 несов. и сов. перех.
автоматизироваться	 несов. и сов.
автоматизм	 м.
автоматика	 ж.
автоматический	 прил.
автоматичность	 ж.
автоматичный	 прил.
автоматный	 прил.
автоматчик	 м.
автоматчица	 ж. разг.
автомашина	 ж.
автомашинист	 м.
автомеханик	 м.
автомобилеразгрузчик	 м.
автомобилестроение	 ср.
автомобилестроитель	 м.
автомобилестроительный	 прил.
автомобилизация	 ж.
автомобилизм	 м.
автомобилист	 м.
автомобилистка	 ж.
автомобиль	 м.
автомобильный	 прил.
автомобильчик	 м. разг.
автомотоклуб	 м.
автомотолотерея	 ж.
автомотриса	 ж.
автономия	 ж.
автономность	 ж.
автономный	 прил.
автопарк	 м.
автопилот	 м.
автоплатформа	 ж.
автопогрузочный	 прил.
автопогрузчик	 м.
автопоезд	 м.
автопоилка	 ж.
автопокрышка	 ж.
автопортрет	 м.
автоприцеп	 м.
автопробег	 м.
автор	 м.
авторалли	 ср. нескл.
авторемонтный	 прил.
автореферат	 м.
авторефрижератор	 м.
авторизация	 ж.
авторизованный	 прил.
авторизовать	 несов. и сов. перех.
авторизоваться	 несов.
авторитаризм	 м.
авторитарность	 ж.
авторитарный	 прил.
авторитет	 м.
авторитетность	 ж.
авторитетный	 прил.
авторские	 мн. разг.
авторский	 прил.
авторство	 ср.
авторулевой	 м.
авторучка	 ж.
авторша	 ж. разг.
автосалон	 м.
автосборочный	 прил.
автосварка	 ж.
автосварщик	 м.
автослесарь	 м.
автоспорт	 м.
автостанция	 ж.
автостоянка	 ж.
автостояночный	 прил.
автострада	 ж.
автостроение	 ср.
автостроитель	 м.
автостроительный	 прил.
автосцепка	 ж.
автотележка	 ж.
автотипический	 прил.
автотипия	 ж.
автотипный	 прил.
автотормоз	 м.
автотормозной	 прил.
автотранспорт	 м.
автотранспортник	 м. разг.
автотранспортный	 прил.
автотрасса	 ж.
автотропизм	 м.
автотуризм	 м.
автотурист	 м.
автотуристский	 прил.
автотягач	 м.
автофургон	 м.
автохозяйство	 ср.
автоцементовоз	 м.
автоцистерна	 ж.
автошина	 ж.
автоштурман	 м.
агава	 ж.
агальматолит	 м.
агама	 ж.
агами	 ж. нескл.
агамия	 ж.
агамы	 мн.
агар	 м.
агар-агар	 м.
агарный	 прил.
агаровый	 прил.
агаряне	 мн. устар.
агарянин	 м.
агарянка	 ж.
агат	 м.
агатовый	 прил.
агглютинативность	 ж.
агглютинативный	 прил.
агглютинирование	 ср.
агглютинироваться	 несов.
агглютинирующий	 прил.
аггравация	 ж.
агентский	 прил.
агентство	 ср.
агентура	 ж.
агентурный	 прил.
агиография	 ж.
агитатор	 м.
агитаторский	 прил.
агитаторша	 ж. разг.
агитационность	 ж.
агитационный	 прил.
агитация	 ж.
агитбригада	 ж.
агитирование	 ср.
агитировать	 несов. неперех.
агитка	 ж. разг.
агитпроп	 м.
агитпункт	 м.
агломерат	 м.
агломератчик	 м.
агломерационный	 прил.
агломерировать	 несов. перех.
агломерироваться	 несов.
агнат	 м.
агнаты	 мн.
агнец	 м. устар.
агница	 ж. устар.
агностик	 м.
агностицизм	 м.
агностический	 прил.
агонизировать	 несов. неперех.
агонизирующий	 прил.
агония	 ж.
агорафобия	 ж.
аграмант	 м.
аграмантовый	 прил.
аграрий	 м.
аграрник	 м. разг.
аграрный	 прил.
агрегатирование	 ср.
агрегатированный	 прил.
агрегатировать	 несов. и сов. перех.
агрегатироваться	 несов. и сов.
агрегатчик	 м. разг.
агреман	 м.
агрессивность	 ж.
агрессивный	 прил.
агрессины	 мн.
агрессия	 ж.
агрессор	 м.
агроклиматический	 прил.
агроклиматология	 ж.
агрокультура	 ж.
агрокультурный	 прил.
агролесомелиоративный	 прил.
агролесомелиоратор	 м.
агролесомелиорация	 ж.
агромелиоративный	 прил.
агромелиоратор	 м.
агромелиорация	 ж.
агрометеоролог	 м.
агрометеорологический	 прил.
агрометеорология	 ж.
агроминимум	 м.
агроном	 м.
агрономический	 прил.
агрономия	 ж.
агропромышленный	 прил.
агротехник	 м.
агротехника	 ж.
агротехнический	 прил.
агрофизик	 м.
агрофизика	 ж.
агрофизический	 прил.
агрохимик	 м.
агрохимический	 прил.
агрохимия	 ж.
агрохимлаборатория	 ж.
агукание	 ср. разг.
агукать	 несов. неперех. разг.
агукнуть	 сов. неперех. разг.
агул	 м.
агулка	 ж.
агулы	 мн.
агульский	 прил.
ад	 м.
Адам	 м.
адамант	 м. устар.
адамантовый	 прил. устар.
адамсит	 м.
адаптационный	 прил.
адаптер	 м.
адаптивность	 ж.
адаптивный	 прил.
адаптированный	 прил.
адаптометр	 м.
адат	 м.
адвективный	 прил.
адвекция	 ж.
адвентизм	 м.
адвентист	 м.
адвербиализация	 ж.
адвербиализироваться	 несов. и сов.
адвербиальный	 прил.
адвокат	 м.
адвокатский	 прил.
адвокатство	 ср.
адвокатствовать	 несов. неперех.
адвокатура	 ж.
адгезионный	 прил.
адгезия	 ж.
адекватность	 ж.
адекватный	 прил.
аденовирус	 м.
аденовирусный	 прил.
аденовирусы	 мн.
аденоид	 м.
аденоидный	 прил.
аденоиды	 мн.
аденома	 ж.
адепт	 м.
аджарец	 м.
аджарка	 ж.
аджарский	 прил.
аджарцы	 мн.
аджика	 ж.
адинамия	 ж.
административный	 прил.
администратор	 м.
администраторский	 прил.
администраторство	 ср.
администраторша	 ж. разг.
администрация	 ж.
администрирование	 ср.
администрировать	 несов. неперех.
адмиралтейский	 прил.
адмиралтейств-коллегия	 ж.
адмиралтейство	 ср.
адмиральский	 прил.
адмиральство	 ср. разг.
адмиральша	 ж. разг.
адов	 прил. разг.
адовый	 прил.
адоптация	 ж.
адоптивный	 прил.
адоптировать	 несов. и сов. перех.
адоптироваться	 несов.
адреналин	 м.
адреналиновый	 прил.
адрес	 м.
адресант	 м.
адресат	 м.
адрес-календарь	 м.
адресный	 прил.
адресовать	 несов. и сов. перех.
адресоваться	 несов. и сов.
адресок	 м. разг.
адресочек	 м. разг.
адряс	 м.
адский	 прил.
адсорбент	 м.
адсорбировать	 несов. и сов. перех. и неперех.
адсорбироваться	 несов. и сов.
адсорбирующий	 прил.
адсорбционный	 прил.
адсорбция	 ж.
адуляр	 м.
адъективация	 ж.
адъективированный	 прил.
адъективироваться	 несов. и сов.
адъективный	 прил.
